id,status
284,1
232,1
826,1
156,1
650,1
269,1
869,1
197,1
765,1
701,1
306,1
900,1
808,1
740,1
947,1
847,1
326,1
553,1
361,1
592,1
408,1
631,1
463,1
18,1
975,1
562,1
498,1
69,1
605,1
541,1
108,1
123,1
635,1
166,1
800,1
225,1
833,1
641,1
264,1
878,1
196,1
774,1
713,1
359,1
303,1
235,1
815,1
400,1
679,1
856,1
437,1
333,1
893,1
370,1
930,1
415,1
339,1
456,1
380,1
982,1
569,1
489,1
62,1
614,1
534,1
99,1
15,1
132,1
56,1
173,1
93,1
37,1
994,1
202,1
138,1
74,1
648,1
255,1
779,1
119,1
687,1
296,1
822,1
726,1
670,1
273,1
849,1
705,1
318,1
888,1
752,1
927,1
410,1
346,1
445,1
381,1
989,1
580,1
488,1
420,1
611,1
527,1
467,1
6,1
955,1
510,1
41,1
172,1
88,1
211,1
143,1
242,1
178,1
788,1
114,1
285,1
917,1
221,1
829,1
661,1
268,1
858,1
762,1
698,1
315,1
911,1
480,1
743,1
952,1
513,1
321,1
558,1
390,1
587,1
427,1
620,1
460,1
29,1
970,1
501,1
66,1
546,1
111,1
599,1
152,1
640,1
185,1
793,1
230,1
828,1
158,1
652,1
259,1
867,1
199,1
767,1
753,1
354,1
308,1
898,1
240,1
802,1
738,1
674,1
845,1
328,1
892,1
367,1
590,1
406,1
625,1
449,1
20,1
977,1
568,1
500,1
59,1
607,1
539,1
106,1
10,1
953,1
125,1
168,1
207,1
835,1
809,1
643,1
262,1
876,1
776,1
684,1
297,1
233,1
729,1
398,1
665,1
854,1
435,1
335,1
883,1
376,1
932,1
413,1
341,1
442,1
378,1
984,1
575,1
491,1
423,1
616,1
532,1
97,1
1,1
134,1
54,1
175,1
91,1
39,1
996,1
216,1
140,1
80,1
253,1
181,1
781,1
117,1
685,1
290,1
916,1
824,1
724,1
672,1
279,1
863,1
755,1
711,1
320,1
886,1
473,1
750,1
921,1
348,1
447,1
387,1
991,1
578,1
482,1
418,1
621,1
525,1
469,1
8,1
965,1
512,1
47,1
694,1
551,1
86,1
959,1
209,1
145,1
248,1
180,1
790,1
287,1
219,1
831,1
663,1
266,1
872,1
764,1
704,1
309,1
909,1
731,1
741,1
719,1
946,1
515,1
803,1
323,1
556,1
364,1
585,1
425,1
630,1
462,1
31,1
972,1
563,1
503,1
72,1
544,1
109,1
597,1
122,1
634,1
187,1
795,1
228,1
838,1
160,1
654,1
257,1
865,1
193,1
769,1
356,1
302,1
904,1
238,1
804,1
395,1
676,1
843,1
757,1
330,1
890,1
365,1
933,1
404,1
627,1
734,1
451,1
22,1
979,1
566,1
494,1
57,1
601,1
537,1
104,1
12,1
127,1
51,1
696,1
162,1
34,1
957,1
205,1
714,1
645,1
252,1
874,1
778,1
682,1
299,1
811,1
727,1
667,1
852,1
433,1
708,1
881,1
733,1
374,1
926,1
411,1
343,1
938,1
444,1
384,1
986,1
573,1
485,1
421,1
610,1
530,1
466,1
3,1
136,1
44,1
169,1
89,1
998,1
214,1
142,1
78,1
243,1
183,1
783,1
115,1
292,1
914,1
224,1
818,1
722,1
658,1
277,1
861,1
709,1
314,1
908,1
475,1
748,1
923,1
518,1
759,1
350,1
385,1
584,1
484,1
432,1
623,1
523,1
471,1
26,1
967,1
506,1
45,1
549,1
84,1
596,1
147,1
246,1
690,1
190,1
792,1
281,1
217,1
825,1
153,1
649,1
272,1
870,1
766,1
702,1
311,1
899,1
807,1
739,1
948,1
717,1
325,1
554,1
735,1
362,1
591,1
407,1
632,1
944,1
464,1
17,1
974,1
561,1
497,1
70,1
606,1
542,1
107,1
124,1
636,1
165,1
797,1
226,1
840,1
716,1
656,1
263,1
879,1
195,1
771,1
358,1
304,1
902,1
236,1
814,1
393,1
678,1
841,1
440,1
332,1
896,1
371,1
935,1
402,1
338,1
453,1
24,1
981,1
572,1
496,1
63,1
603,1
535,1
102,1
14,1
129,1
49,1
164,1
96,1
36,1
993,1
203,1
75,1
647,1
250,1
692,1
780,1
688,1
293,1
821,1
725,1
669,1
276,1
850,1
706,1
887,1
751,1
928,1
409,1
718,1
345,1
446,1
382,1
988,1
579,1
487,1
419,1
612,1
528,1
468,1
5,1
962,1
509,1
42,1
171,1
87,1
1000,1
212,1
144,1
241,1
177,1
785,1
113,1
286,1
920,1
222,1
820,1
660,1
267,1
859,1
699,1
316,1
906,1
477,1
746,1
949,1
520,1
352,1
559,1
391,1
582,1
430,1
617,1
521,1
457,1
28,1
969,1
508,1
67,1
547,1
82,1
594,1
149,1
637,1
192,1
794,1
283,1
231,1
827,1
155,1
651,1
270,1
868,1
198,1
768,1
353,1
305,1
897,1
801,1
737,1
673,1
846,1
327,1
891,1
368,1
589,1
405,1
626,1
450,1
19,1
976,1
567,1
499,1
60,1
608,1
540,1
105,1
9,1
126,1
848,1
167,1
799,1
208,1
834,1
642,1
261,1
877,1
939,1
773,1
754,1
360,1
298,1
234,1
816,1
399,1
680,1
963,1
855,1
438,1
334,1
894,1
369,1
929,1
416,1
340,1
455,1
379,1
983,1
570,1
490,1
61,1
613,1
533,1
100,1
16,1
956,1
131,1
55,1
174,1
94,1
38,1
995,1
201,1
137,1
73,1
256,1
782,1
120,1
686,1
295,1
915,1
730,1
805,1
723,1
671,1
274,1
864,1
712,1
317,1
885,1
474,1
749,1
922,1
347,1
448,1
388,1
990,1
577,1
481,1
417,1
622,1
526,1
470,1
7,1
964,1
511,1
48,1
552,1
85,1
210,1
146,1
247,1
179,1
787,1
288,1
918,1
220,1
830,1
662,1
265,1
857,1
761,1
756,1
697,1
310,1
912,1
479,1
744,1
951,1
514,1
322,1
557,1
389,1
588,1
428,1
619,1
