1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,8
9,11
10,14
11,15
12,15
13,15
14,15
15,13
16,12
17,12
18,10
19,6
20,5
21,5
1,1
22,1
2,4
23,1
3,4
24,0
4,6
25,0
1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,8
9,11
10,14
11,15
12,15
13,15
14,15
15,13
16,12
17,12
18,10
19,6
20,5
21,5
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,11
9,13
10,17
1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,11
9,13
10,17
11,17
12,20
13,23
14,24
15,28
16,30
1,1
17,34
2,4
3,4
4,6
5,6
6,8
7,11
8,11
9,13
10,17
11,17
12,20
13,23
14,24
15,28
16,30
17,34
18,36
19,39
20,44
21,46
22,52
23,55
24,59
25,63
1,1
26,68
2,4
27,73
3,4
4,6
5,6
6,8
7,11
8,11
9,13
10,17
11,17
12,20
13,23
14,24
1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,11
9,13
10,17
11,17
12,20
13,23
14,24
15,28
16,30
17,34
18,36
19,39
1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,11
9,13
10,17
11,17
12,20
13,23
14,24
15,28
16,30
17,34
18,36
19,39
20,44
1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,11
9,13
10,17
11,17
12,20
13,23
14,24
15,28
16,30
17,34
18,36
19,39
20,44
1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,11
9,11
10,14
11,15
12,15
13,15
14,15
15,15
16,13
17,12
18,11
19,6
20,5
1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,11
9,11
10,14
11,15
12,15
13,15
14,15
15,15
16,13
17,12
18,11
19,6
20,5
21,3
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,11
9,13
1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,11
9,13
10,14
11,17
1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,11
9,11
10,14
11,15
12,15
13,15
14,15
15,15
16,13
17,12
18,11
19,6
20,5
21,3
1,1
2,4
3,4
4,6
5,6
6,8
7,11
8,8
9,9
10,10
11,12
12,12
13,12
14,12
15,12
16,11
17,10
18,10
19,6
20,6
21,5
22,5
23,1
24,0
25,0
